year,loc_city,loc_state,shooting_deaths,pop,deaths_pc
2014,Austin,TX,2,964254,0.20741422903093995
2014,Charlotte,NC,1,872498,0.1146134432399845
2014,Columbus,OH,5,892533,0.5602033762337079
2014,Denver,CO,5,716492,0.6978444979148407
2014,Fort Worth,TX,3,895008,0.3351925345918696
2014,Indianapolis,IN,5,867125,0.5766181346403344
2014,San Francisco,CA,3,883305,0.3396335354152869
2014,Seattle,WA,6,744955,0.8054177769126994
2014,Washington,DC,4,702455,0.5694314938323451
2015,Austin,TX,6,964254,0.6222426870928199
2015,Charlotte,NC,2,872498,0.229226886479969
2015,Columbus,OH,6,892533,0.6722440514804494
2015,Denver,CO,4,716492,0.5582755983318726
2015,Fort Worth,TX,5,895008,0.5586542243197826
2015,Indianapolis,IN,8,867125,0.9225890154245351
2015,San Francisco,CA,6,883305,0.6792670708305738
2015,Seattle,WA,2,744955,0.26847259230423315
2015,Washington,DC,3,702455,0.42707362037425883
2016,Austin,TX,6,964254,0.6222426870928199
2016,Charlotte,NC,5,872498,0.5730672161999225
2016,Columbus,OH,6,892533,0.6722440514804494
2016,Denver,CO,6,716492,0.8374133974978087
2016,Fort Worth,TX,2,895008,0.22346168972791303
2016,Indianapolis,IN,3,867125,0.3459708807842007
2016,San Francisco,CA,3,883305,0.3396335354152869
2016,Seattle,WA,2,744955,0.26847259230423315
2016,Washington,DC,4,702455,0.5694314938323451
2017,Austin,TX,4,964254,0.4148284580618799
2017,Charlotte,NC,3,872498,0.3438403297199535
2017,Columbus,OH,5,892533,0.5602033762337079
2017,Denver,CO,2,716492,0.2791377991659363
2017,Fort Worth,TX,1,895008,0.11173084486395651
2017,Indianapolis,IN,1,867125,0.11532362692806689
2017,San Francisco,CA,4,883305,0.45284471388704917
2017,Seattle,WA,3,744955,0.4027088884563497
2017,Washington,DC,2,702455,0.2847157469161726
2018,Austin,TX,6,964254,0.6222426870928199
2018,Charlotte,NC,2,872498,0.229226886479969
2018,Columbus,OH,9,892533,1.0083660772206742
2018,Denver,CO,6,716492,0.8374133974978087
2018,Fort Worth,TX,4,895008,0.44692337945582605
2018,Indianapolis,IN,1,867125,0.11532362692806689
2018,San Francisco,CA,2,883305,0.22642235694352458
2018,Seattle,WA,2,744955,0.26847259230423315
2018,Washington,DC,2,702455,0.2847157469161726
2019,Austin,TX,4,964254,0.5068862802619135
2019,Charlotte,NC,3,872498,0.4201446220687651
2019,Columbus,OH,1,892533,0.13690449632889518
2019,Denver,CO,5,716492,0.8527086193699149
2019,Fort Worth,TX,6,895008,0.8191554543998567
2019,Indianapolis,IN,1,867125,0.14091599345182967
2019,Seattle,WA,3,744955,0.4920771623329643
2019,Washington,DC,2,702455,0.3478992414372958
2019,San Francisco,CA,0,883305,0
